data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,13446,111,32,3597,75,1771,4,9,-1,10.535653752852738
2020-10-02 17:00:00,13586,140,58,3619,82,1829,0,9,2,11.832159566199232
2020-10-03 17:00:00,13748,162,31,4202,130,1860,1,6,-2,12.727922061357855
2020-10-04 17:00:00,13869,121,17,2385,103,1877,1,0,2,11.0
2020-10-05 17:00:00,13976,107,30,1594,77,1907,0,13,1,10.344080432788601
2020-10-06 17:00:00,14146,170,18,3325,150,1925,2,-2,-1,13.038404810405298
2020-10-07 17:00:00,14322,176,107,3726,67,2032,2,18,1,13.2664991614216
2020-10-08 17:00:00,14474,152,123,3857,29,2155,0,-1,4,12.328828005937952
2020-10-09 17:00:00,14670,196,120,3457,75,2275,1,4,-2,14.0
2020-10-10 17:00:00,14883,213,171,4033,40,2446,2,23,0,14.594519519326424
2020-10-11 17:00:00,15269,386,152,3334,232,2598,2,16,0,19.6468827043885
2020-10-12 17:00:00,15455,186,143,1570,41,2741,2,23,-2,13.638181696985855
2020-10-13 17:00:00,15902,447,182,4766,264,2923,1,11,3,21.142374511865974
2020-10-14 17:00:00,16264,362,152,3981,209,3075,1,14,2,19.026297590440446
2020-10-15 17:00:00,16696,432,38,5149,391,3113,3,30,-3,20.784609690826528
2020-10-16 17:00:00,17281,585,128,4980,451,3241,6,31,6,24.186773244895647
2020-10-17 17:00:00,17745,464,317,5173,146,3558,1,17,6,21.540659228538015
2020-10-18 17:00:00,18115,370,201,3328,166,3759,3,38,1,19.235384061671343
2020-10-19 17:00:00,18438,323,152,1871,166,3911,5,34,-5,17.97220075561143
2020-10-20 17:00:00,19345,907,573,6062,328,4484,6,69,-2,30.116440692751194
2020-10-21 17:00:00,19891,546,137,4950,400,4621,9,42,-1,23.366642891095847
2020-10-22 17:00:00,20581,690,445,5039,228,5066,17,-7,3,26.267851073127396
2020-10-23 17:00:00,21359,778,403,5096,368,5469,7,58,-1,27.892651361962706
2020-10-24 17:00:00,22394,1035,291,6114,738,5760,6,43,5,32.17141588429082
2020-10-25 17:00:00,23051,657,276,4195,376,6036,5,55,3,25.632011235952593
2020-10-26 17:00:00,23470,419,406,2519,0,6442,13,92,5,20.46948949045872
2020-10-27 17:00:00,24597,1127,515,6357,598,6957,14,49,-1,33.57082066318904
2020-10-28 17:00:00,25523,926,521,6340,390,7478,15,41,1,30.430248109405877
2020-10-29 17:00:00,26541,1018,458,6067,551,7936,9,29,4,31.906112267087632
2020-10-30 17:00:00,27540,999,386,6234,606,8322,7,41,2,31.606961258558215
2020-10-31 17:00:00,28608,1068,109,6389,934,8431,25,88,5,32.68026927673638
2020-11-01 17:00:00,29344,736,283,4044,446,8714,7,44,6,27.129319932501073
2020-11-02 17:00:00,29943,599,580,2846,10,9294,9,53,-6,24.474476501040833
2020-11-03 17:00:00,30995,1052,535,6619,497,9829,20,14,7,32.43454948045371
2020-11-04 17:00:00,32117,1122,638,6141,460,10467,24,49,13,33.49626844888845
2020-11-05 17:00:00,33325,1208,756,6587,423,11223,29,40,-1,34.75629439396553
2020-11-06 17:00:00,34452,1127,469,5772,642,11692,16,79,2,33.57082066318904
2020-11-07 17:00:00,35544,1092,416,5630,641,12108,35,-12,-1,33.04542328371661
2020-11-08 17:00:00,36430,886,300,4856,584,12408,2,31,4,29.765752132274432
2020-11-09 17:00:00,36968,538,313,3130,204,12721,21,53,11,23.194827009486403
2020-11-10 17:00:00,38140,1172,615,7022,518,13336,39,-72,0,34.23448553724738
2020-11-11 17:00:00,39242,1102,619,6922,450,13955,33,0,6,33.19638534539566
2020-11-12 17:00:00,40255,1013,706,5807,276,14661,31,48,11,31.827660925679098
2020-11-13 17:00:00,41464,1209,224,7278,967,14885,18,9,1,34.77067730142742
2020-11-14 17:00:00,42555,1091,449,6167,612,15334,30,30,-2,33.03028912982749
2020-11-15 17:00:00,43377,822,404,4850,397,15738,21,-9,7,28.6705423736629
2020-11-16 17:00:00,43742,365,163,2205,187,15901,15,-12,-4,19.1049731745428
2020-11-17 17:00:00,44427,685,630,5670,35,16531,20,12,6,26.1725046566048
2020-11-18 17:00:00,45202,775,237,6806,519,16768,19,-22,1,27.83882181415011
2020-11-19 17:00:00,45994,792,259,6187,518,17027,15,-52,1,28.142494558940577
2020-11-20 17:00:00,46755,761,-1073,5647,1805,15954,29,-29,1,27.586228448267445
2020-11-21 17:00:00,47516,761,-81,6476,822,15873,20,-49,-1,27.586228448267445
2020-11-22 17:00:00,48127,611,5,4428,592,15878,14,12,3,24.71841418861655
2020-11-23 17:00:00,48412,285,-557,2831,822,15321,20,-5,0,16.881943016134134
2020-11-24 17:00:00,48921,509,-538,5021,1022,14783,25,-69,-1,22.561028345356956
2020-11-25 17:00:00,49381,460,-728,5831,1166,14055,22,-64,2,21.447610589527216
2020-11-26 17:00:00,49951,570,-563,5705,1119,13492,14,-40,-9,23.874672772626646
2020-11-27 17:00:00,50557,606,-481,5532,1073,13011,14,-56,-5,24.61706725018234
2020-11-28 17:00:00,51011,454,-286,4740,715,12725,25,-51,8,21.307275752662516
2020-11-29 17:00:00,51448,437,-119,3859,537,12606,19,2,-6,20.904544960366874
2020-11-30 17:00:00,51684,236,-390,2101,619,12216,7,27,2,15.362291495737216
2020-12-01 17:00:00,52023,339,-66,4300,388,12150,17,6,-8,18.411952639521967
2020-12-02 17:00:00,52372,349,-151,4620,481,11999,19,-40,-3,18.681541692269406
2020-12-03 17:00:00,52794,422,-541,4957,937,11458,26,-31,0,20.54263858417414
2020-12-04 17:00:00,53161,367,-431,4765,773,11027,25,-20,-3,19.157244060668017
2020-12-05 17:00:00,53475,314,-509,3708,796,10518,27,-15,-6,17.72004514666935
2020-12-06 17:00:00,53779,304,-102,3092,386,10416,20,-29,-1,17.435595774162696
2020-12-07 17:00:00,53907,128,-406,1424,511,10010,23,-1,0,11.313708498984761
2020-12-08 17:00:00,54173,266,-265,3957,512,9745,19,-26,-1,16.30950643030009
2020-12-09 17:00:00,54364,191,-498,2248,661,9247,28,0,-3,13.820274961085254
2020-12-10 17:00:00,54684,320,-289,3992,598,8958,11,-19,-3,17.88854381999832
2020-12-11 17:00:00,55024,340,-193,4707,508,8765,25,-19,-1,18.439088914585774
2020-12-12 17:00:00,55287,263,-296,4277,537,8469,22,-21,-7,16.217274740226856
2020-12-13 17:00:00,55618,331,-74,2752,397,8395,8,-14,-2,18.193405398660254
2020-12-14 17:00:00,55841,223,-115,2533,321,8280,17,12,-2,14.933184523068078
2020-12-15 17:00:00,56043,202,-165,3899,347,8115,20,-12,-2,14.212670403551895
2020-12-16 17:00:00,56318,275,-86,4672,350,8029,11,-13,0,16.583123951777
2020-12-17 17:00:00,56734,416,-400,4333,797,7629,19,-9,-2,20.396078054371138
