data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,35414,103,1,8418,102,4654,0,1,0,10.14889156509222
2020-10-02 17:00:00,35577,163,23,13054,140,4677,0,-5,-3,12.767145334803704
2020-10-03 17:00:00,35743,167,113,9867,52,4790,1,-1,0,12.922847983320086
2020-10-04 17:00:00,35922,179,164,7058,14,4954,1,12,0,13.379088160259652
2020-10-05 17:00:00,36089,167,92,5008,74,5046,1,1,0,12.922847983320086
2020-10-06 17:00:00,36261,172,108,11386,61,5154,3,-1,2,13.114877048604
2020-10-07 17:00:00,36454,193,141,14881,51,5295,1,11,1,13.892443989449804
2020-10-08 17:00:00,36638,184,129,11695,54,5424,1,9,-1,13.564659966250536
2020-10-09 17:00:00,36914,276,185,10747,90,5609,1,-6,1,16.61324772583615
2020-10-10 17:00:00,37297,383,367,13779,15,5976,1,15,2,19.570385790780925
2020-10-11 17:00:00,37681,384,373,8660,10,6349,1,13,7,19.595917942265423
2020-10-12 17:00:00,38018,337,324,6660,12,6673,1,30,2,18.35755975068582
2020-10-13 17:00:00,38356,341,203,13344,133,6876,2,39,6,18.466185312619388
2020-10-14 17:00:00,38695,339,272,15607,63,7148,4,60,4,18.411952639521967
2020-10-15 17:00:00,39148,453,373,12631,79,7521,1,9,14,21.283796653792763
2020-10-16 17:00:00,39692,544,512,13563,31,8033,1,12,12,23.323807579381203
2020-10-17 17:00:00,40333,641,616,13313,20,8649,5,23,4,25.317977802344327
2020-10-18 17:00:00,40859,526,514,9189,6,9163,6,12,2,22.93468988235943
2020-10-19 17:00:00,41410,552,507,8026,41,9670,3,42,3,23.49468024894146
2020-10-20 17:00:00,41917,507,498,16549,4,10168,5,50,8,22.516660498395403
2020-10-21 17:00:00,42588,671,632,17165,31,10800,8,65,8,25.903667693977237
2020-10-22 17:00:00,43477,889,863,16179,20,11663,6,40,0,29.816103031751148
2020-10-23 17:00:00,44365,888,851,15978,27,12514,10,21,0,29.79932885150268
2020-10-24 17:00:00,45542,1180,1128,17612,39,13642,10,66,3,34.351128074635334
2020-10-25 17:00:00,46734,1192,1186,9644,2,14828,4,34,-1,34.52535300326414
2020-10-26 17:00:00,47877,1146,941,12083,199,15769,3,59,5,33.85262175962151
2020-10-27 17:00:00,49285,1413,1311,21401,82,17080,15,118,10,37.589892258425
2020-10-28 17:00:00,50494,1212,1150,21376,45,18230,14,65,16,34.813790371058424
2020-10-29 17:00:00,52038,1545,1483,21860,53,19713,8,55,4,39.30648801406709
2020-10-30 17:00:00,53797,1763,1708,17577,40,21421,11,103,-4,41.98809355043403
2020-10-31 17:00:00,55841,2046,1792,18943,233,23213,19,66,6,45.232731511594565
2020-11-01 17:00:00,57597,1758,1704,12039,36,24917,16,44,7,41.92851058647326
2020-11-02 17:00:00,59249,1652,1575,10299,60,26492,17,115,6,40.64480286580315
2020-11-03 17:00:00,61158,1912,1856,23700,30,28348,23,82,15,43.726422218150894
2020-11-04 17:00:00,62914,1758,1626,18401,118,29974,12,90,8,41.92851058647326
2020-11-05 17:00:00,65091,2180,2002,20332,162,31976,13,34,16,46.69047011971501
2020-11-06 17:00:00,67041,1953,1754,20847,156,33730,40,85,0,44.19275958796871
2020-11-07 17:00:00,69049,2009,1919,20218,60,35649,29,50,11,44.82186966202994
2020-11-08 17:00:00,71408,2360,2203,12950,121,37852,35,113,6,48.579831205964474
2020-11-09 17:00:00,73432,2025,1778,12471,238,39630,8,103,10,45.0
2020-11-10 17:00:00,75855,2430,2150,22539,252,41780,21,81,11,49.29503017546495
2020-11-11 17:00:00,78283,2428,2111,20674,286,43891,31,52,7,49.27473997901968
2020-11-12 17:00:00,80684,2402,2133,20310,219,46024,49,22,6,49.01020301937138
2020-11-13 17:00:00,83068,2384,2132,20512,212,48156,40,70,-3,48.82622246293481
2020-11-14 17:00:00,85699,2637,2406,21448,182,50562,43,79,6,51.35172830587107
