data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,delta_positivi
2020-10-01 17:00:00,3996,96,75,2058,20,2136,1,9,1,9.797958971132712
2020-10-02 17:00:00,4056,60,18,1876,42,2154,0,-4,1,7.745966692414834
2020-10-03 17:00:00,4118,62,32,2069,30,2186,0,7,0,7.874007874011811
2020-10-04 17:00:00,4229,111,93,1783,17,2279,1,1,-1,10.535653752852738
2020-10-05 17:00:00,4317,88,47,1622,41,2326,0,2,-1,9.38083151964686
2020-10-06 17:00:00,4380,63,-1,2319,63,2325,1,9,0,7.937253933193772
2020-10-07 17:00:00,4481,101,65,2056,33,2390,3,3,0,10.04987562112089
2020-10-08 17:00:00,4608,127,80,2103,46,2470,1,1,0,11.269427669584644
2020-10-09 17:00:00,4742,134,99,2555,35,2569,0,4,4,11.575836902790225
2020-10-10 17:00:00,4866,124,102,1619,22,2671,0,7,2,11.135528725660043
2020-10-11 17:00:00,5009,143,101,1752,38,2772,4,0,-3,11.958260743101398
2020-10-12 17:00:00,5138,129,87,1578,41,2859,1,17,1,11.357816691600547
2020-10-13 17:00:00,5295,157,41,2466,114,2900,2,7,3,12.529964086141668
2020-10-14 17:00:00,5417,122,26,2158,96,2926,0,8,0,11.045361017187261
2020-10-15 17:00:00,5603,186,98,2688,87,3024,1,8,2,13.638181696985855
2020-10-16 17:00:00,5736,133,71,2450,60,3095,2,7,1,11.532562594670797
2020-10-17 17:00:00,5866,130,93,2995,36,3188,1,5,1,11.40175425099138
2020-10-18 17:00:00,6096,230,208,1911,20,3396,2,16,-1,15.165750888103101
2020-10-19 17:00:00,6255,159,106,2306,53,3502,0,2,4,12.609520212918492
2020-10-20 17:00:00,6476,221,184,2016,34,3686,3,16,1,14.866068747318506
2020-10-21 17:00:00,6643,167,125,2223,39,3811,3,10,2,12.922847983320086
2020-10-22 17:00:00,6886,243,182,3378,60,3993,1,28,0,15.588457268119896
2020-10-23 17:00:00,7235,349,293,3746,56,4286,0,11,0,18.681541692269406
2020-10-24 17:00:00,7564,329,300,3721,26,4586,3,12,0,18.138357147217054
2020-10-25 17:00:00,7759,195,168,2430,20,4754,7,12,-2,13.96424004376894
2020-10-26 17:00:00,7990,231,166,2376,64,4920,1,4,1,15.198684153570664
2020-10-27 17:00:00,8164,174,141,2544,26,5061,7,3,1,13.19090595827292
2020-10-28 17:00:00,8526,362,287,3821,69,5348,6,-8,1,19.026297590440446
2020-10-29 17:00:00,8808,282,218,3460,62,5566,2,24,2,16.792855623746664
2020-10-30 17:00:00,9106,298,255,3566,36,5821,7,1,1,17.26267650163207
2020-10-31 17:00:00,9431,325,234,3323,78,6055,13,26,-1,18.027756377319946
2020-11-01 17:00:00,9830,399,323,2959,69,6378,7,-13,4,19.974984355438178
2020-11-02 17:00:00,10154,324,275,3367,48,6653,1,3,0,18.0
2020-11-03 17:00:00,10456,302,255,2489,43,6908,4,-2,2,17.378147196982766
2020-11-04 17:00:00,10640,184,140,1911,42,7048,2,7,0,13.564659966250536
2020-11-05 17:00:00,11053,413,320,4036,87,7368,6,-4,1,20.322401432901575
2020-11-06 17:00:00,11412,359,318,3699,39,7686,2,52,0,18.947295321496416
2020-11-07 17:00:00,11837,425,385,3426,36,8071,4,-2,10,20.615528128088304
2020-11-08 17:00:00,12261,424,356,4292,66,8427,2,10,-1,20.591260281974
2020-11-09 17:00:00,12588,327,166,2927,148,8593,13,8,3,18.083141320025124
2020-11-10 17:00:00,13077,489,367,3879,111,8960,11,-5,-7,22.11334438749598
2020-11-11 17:00:00,13493,416,221,4175,181,9181,14,15,3,20.396078054371138
2020-11-12 17:00:00,13794,301,190,4144,106,9371,5,6,2,17.349351572897472
2020-11-13 17:00:00,14417,623,322,4925,286,9693,15,48,1,24.95996794869737
2020-11-14 17:00:00,14813,396,289,4025,102,9982,5,34,2,19.8997487421324
2020-11-15 17:00:00,15183,370,238,3386,128,10220,4,4,1,19.235384061671343
2020-11-16 17:00:00,15594,411,234,2350,171,10454,6,0,3,20.273134932713294
2020-11-17 17:00:00,16096,502,330,3653,160,10784,12,2,1,22.40535650240808
2020-11-18 17:00:00,16518,422,261,3551,151,11045,10,-7,-1,20.54263858417414
2020-11-19 17:00:00,16997,479,347,4834,120,11392,12,12,4,21.88606862823929
2020-11-20 17:00:00,17578,581,252,4354,324,11644,5,9,2,24.1039415863879
2020-11-21 17:00:00,18089,511,270,3702,229,11914,12,-22,1,22.60530911091463
2020-11-22 17:00:00,18493,404,269,3932,125,12183,10,-1,0,20.09975124224178
2020-11-23 17:00:00,18998,505,281,2589,218,12464,6,9,2,22.47220505424423
2020-11-24 17:00:00,19288,290,98,2458,180,12562,12,15,1,17.029386365926403
2020-11-25 17:00:00,19639,351,135,3877,210,12697,6,-12,3,18.734993995195193
2020-11-26 17:00:00,20044,405,274,3037,126,12971,5,20,-3,20.12461179749811
2020-11-27 17:00:00,20419,375,184,3334,182,13155,9,-7,-2,19.364916731037084
2020-11-28 17:00:00,20730,311,-36,4189,342,13119,5,16,2,17.635192088548397
2020-11-29 17:00:00,21146,416,280,3161,132,13399,4,10,-4,20.396078054371138
2020-11-30 17:00:00,21475,329,129,2530,192,13528,8,26,1,18.138357147217054
2020-12-01 17:00:00,21895,420,98,3328,317,13626,5,3,-2,20.493901531919196
2020-12-02 17:00:00,22340,445,257,3297,184,13883,4,-6,-2,21.095023109728988
2020-12-03 17:00:00,22878,538,337,5548,192,14220,9,16,0,23.194827009486403
2020-12-04 17:00:00,23429,551,281,4774,221,14501,49,-2,4,23.473389188611005
